id_bvote,scrutin,annee,tour,date,num_circ,num_quartier,num_arrond,num_bureau,nb_procu,nb_inscr,nb_emarg,nb_votant,nb_bl_nul,nb_exprim,raw_row_id,candidate_source_column,votes,candidate,source_file,dataset_id,vote_share_exprimes,vote_share_registered,nb_bl,nb_nul,source_bv_id,nom,prenom,nuance,liste
13-31,Présidentielle,2007,2,2007-05-06,9,50,13,31,76.0,1323.0,1172.0,1172.0,45.0,1127.0,0.0,sarkozy_nicolas,479.0,sarkozy_nicolas,elections-presidentielles-2007-2emetour.parquet,elections-presidentielles-2007-2emetour,0.42502218278615794,0.36205593348450493,,,,,,,
16-33,Présidentielle,2007,2,2007-05-06,14,62,16,33,126.0,1238.0,1084.0,1086.0,36.0,1050.0,1.0,sarkozy_nicolas,882.0,sarkozy_nicolas,elections-presidentielles-2007-2emetour.parquet,elections-presidentielles-2007-2emetour,0.84,0.7124394184168013,,,,,,,
6-11,Présidentielle,2007,2,2007-05-06,2,23,6,11,145.0,1186.0,1066.0,1066.0,36.0,1030.0,2.0,sarkozy_nicolas,662.0,sarkozy_nicolas,elections-presidentielles-2007-2emetour.parquet,elections-presidentielles-2007-2emetour,0.6427184466019418,0.5581787521079258,,,,,,,
17-20,Présidentielle,2007,2,2007-05-06,17,68,17,20,46.0,1588.0,1317.0,1317.0,31.0,1286.0,3.0,sarkozy_nicolas,582.0,sarkozy_nicolas,elections-presidentielles-2007-2emetour.parquet,elections-presidentielles-2007-2emetour,0.4525660964230171,0.36649874055415615,,,,,,,
19-63,Présidentielle,2007,2,2007-05-06,19,73,19,63,56.0,1463.0,1273.0,1273.0,37.0,1236.0,4.0,sarkozy_nicolas,592.0,sarkozy_nicolas,elections-presidentielles-2007-2emetour.parquet,elections-presidentielles-2007-2emetour,0.47896440129449835,0.40464798359535203,,,,,,,
11-17,Présidentielle,2007,2,2007-05-06,7,43,11,17,85.0,1459.0,1240.0,1240.0,50.0,1190.0,5.0,sarkozy_nicolas,477.0,sarkozy_nicolas,elections-presidentielles-2007-2emetour.parquet,elections-presidentielles-2007-2emetour,0.4008403361344538,0.3269362577107608,,,,,,,
11-28,Présidentielle,2007,2,2007-05-06,7,44,11,28,63.0,1337.0,1135.0,1135.0,41.0,1094.0,6.0,sarkozy_nicolas,454.0,sarkozy_nicolas,elections-presidentielles-2007-2emetour.parquet,elections-presidentielles-2007-2emetour,0.4149908592321755,0.3395661929693343,,,,,,,
13-56,Présidentielle,2007,2,2007-05-06,10,51,13,56,95.0,1562.0,1352.0,1352.0,43.0,1309.0,7.0,sarkozy_nicolas,577.0,sarkozy_nicolas,elections-presidentielles-2007-2emetour.parquet,elections-presidentielles-2007-2emetour,0.440794499618029,0.36939820742637647,,,,,,,
15-26,Présidentielle,2007,2,2007-05-06,13,57,15,26,75.0,1384.0,1220.0,1220.0,38.0,1182.0,8.0,sarkozy_nicolas,720.0,sarkozy_nicolas,elections-presidentielles-2007-2emetour.parquet,elections-presidentielles-2007-2emetour,0.6091370558375635,0.5202312138728323,,,,,,,
10-13,Présidentielle,2007,2,2007-05-06,5,40,10,13,100.0,1690.0,1479.0,1479.0,53.0,1426.0,9.0,sarkozy_nicolas,556.0,sarkozy_nicolas,elections-presidentielles-2007-2emetour.parquet,elections-presidentielles-2007-2emetour,0.3899018232819074,0.3289940828402367,,,,,,,
16-27,Présidentielle,2007,2,2007-05-06,15,64,16,27,79.0,1051.0,892.0,892.0,15.0,877.0,10.0,sarkozy_nicolas,721.0,sarkozy_nicolas,elections-presidentielles-2007-2emetour.parquet,elections-presidentielles-2007-2emetour,0.82212086659065,0.6860133206470028,,,,,,,
11-24,Présidentielle,2007,2,2007-05-06,7,44,11,24,110.0,1537.0,1356.0,1356.0,35.0,1321.0,11.0,sarkozy_nicolas,562.0,sarkozy_nicolas,elections-presidentielles-2007-2emetour.parquet,elections-presidentielles-2007-2emetour,0.4254352763058289,0.3656473649967469,,,,,,,
15-70,Présidentielle,2007,2,2007-05-06,12,59,15,70,135.0,1567.0,1424.0,1424.0,58.0,1366.0,12.0,sarkozy_nicolas,996.0,sarkozy_nicolas,elections-presidentielles-2007-2emetour.parquet,elections-presidentielles-2007-2emetour,0.7291361639824304,0.635609444798979,,,,,,,
10-9,Présidentielle,2007,2,2007-05-06,5,40,10,9,84.0,1618.0,1390.0,1390.0,48.0,1342.0,13.0,sarkozy_nicolas,401.0,sarkozy_nicolas,elections-presidentielles-2007-2emetour.parquet,elections-presidentielles-2007-2emetour,0.29880774962742174,0.24783683559950556,,,,,,,
17-5,Présidentielle,2007,2,2007-05-06,17,67,17,5,96.0,1496.0,1310.0,1310.0,43.0,1267.0,14.0,sarkozy_nicolas,735.0,sarkozy_nicolas,elections-presidentielles-2007-2emetour.parquet,elections-presidentielles-2007-2emetour,0.580110497237569,0.4913101604278075,,,,,,,
