id_bvote,scrutin,annee,tour,date,num_circ,num_quartier,num_arrond,num_bureau,nb_procu,nb_inscr,nb_emarg,nb_votant,nb_bl_nul,nb_exprim,raw_row_id,candidate_source_column,votes,candidate,source_file,dataset_id,vote_share_exprimes,vote_share_registered,nb_bl,nb_nul,source_bv_id,nom,prenom,nuance,liste
75056_0208,Municipales,2008,1.0,,,,02,08,,1351.0,,,,772.0,17.0,dalmas_jean-pierre,14.0,dalmas_jean-pierre,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.01809999905526638,0.010400000028312206,,,75056_0208,DALMAS,Jean-Pierre,LEXG,
75056_0209,Municipales,2008,1.0,,,,02,09,,1307.0,,,,674.0,18.0,dalmas_jean-pierre,3.0,dalmas_jean-pierre,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.0044999998062849045,0.002300000051036477,,,75056_0209,DALMAS,Jean-Pierre,LEXG,
75056_0210,Municipales,2008,1.0,,,,02,10,,1269.0,,,,745.0,19.0,dalmas_jean-pierre,13.0,dalmas_jean-pierre,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.017400000244379044,0.010199999436736107,,,75056_0210,DALMAS,Jean-Pierre,LEXG,
75056_0301,Municipales,2008,1.0,,,,03,01,,1340.0,,,,708.0,20.0,rubinstein-carrera_hélène,6.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.008500000461935997,0.0044999998062849045,,,75056_0301,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0302,Municipales,2008,1.0,,,,03,02,,1407.0,,,,764.0,21.0,rubinstein-carrera_hélène,8.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.010499999858438969,0.00570000009611249,,,75056_0302,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0303,Municipales,2008,1.0,,,,03,03,,1366.0,,,,753.0,22.0,rubinstein-carrera_hélène,4.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.0052999998442828655,0.002899999963119626,,,75056_0303,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0304,Municipales,2008,1.0,,,,03,04,,1487.0,,,,862.0,23.0,rubinstein-carrera_hélène,1.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.0011999999405816197,0.000699999975040555,,,75056_0304,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0305,Municipales,2008,1.0,,,,03,05,,1292.0,,,,731.0,24.0,rubinstein-carrera_hélène,10.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.013700000010430813,0.007699999958276749,,,75056_0305,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0306,Municipales,2008,1.0,,,,03,06,,1389.0,,,,817.0,25.0,rubinstein-carrera_hélène,3.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.003700000001117587,0.002199999988079071,,,75056_0306,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0307,Municipales,2008,1.0,,,,03,07,,1331.0,,,,800.0,26.0,rubinstein-carrera_hélène,11.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.013799999840557575,0.008299999870359898,,,75056_0307,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0308,Municipales,2008,1.0,,,,03,08,,1348.0,,,,747.0,27.0,rubinstein-carrera_hélène,6.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.00800000037997961,0.0044999998062849045,,,75056_0308,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0309,Municipales,2008,1.0,,,,03,09,,1572.0,,,,951.0,28.0,rubinstein-carrera_hélène,12.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.012600000016391277,0.007600000128149986,,,75056_0309,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0310,Municipales,2008,1.0,,,,03,10,,1529.0,,,,866.0,29.0,rubinstein-carrera_hélène,4.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.004600000102072954,0.0026000000070780516,,,75056_0310,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0311,Municipales,2008,1.0,,,,03,11,,1545.0,,,,873.0,30.0,rubinstein-carrera_hélène,3.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.0034000000450760126,0.0019000000320374966,,,75056_0311,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0312,Municipales,2008,1.0,,,,03,12,,1365.0,,,,715.0,31.0,rubinstein-carrera_hélène,4.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.00559999980032444,0.002899999963119626,,,75056_0312,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0313,Municipales,2008,1.0,,,,03,13,,1411.0,,,,744.0,32.0,rubinstein-carrera_hélène,4.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.005400000140070915,0.00279999990016222,,,75056_0313,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0314,Municipales,2008,1.0,,,,03,14,,1514.0,,,,847.0,33.0,rubinstein-carrera_hélène,8.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.009399999864399433,0.0052999998442828655,,,75056_0314,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0315,Municipales,2008,1.0,,,,03,15,,1473.0,,,,796.0,34.0,rubinstein-carrera_hélène,8.0,rubinstein-carrera_hélène,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.010099999606609344,0.005400000140070915,,,75056_0315,RUBINSTEIN-CARRERA,Hélène,LEXG,
75056_0401,Municipales,2008,1.0,,,,04,01,,1326.0,,,,756.0,35.0,borsari_marie-josé,24.0,borsari_marie-josé,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.031700000166893005,0.01809999905526638,,,75056_0401,BORSARI,Marie-José,LEXG,
75056_0402,Municipales,2008,1.0,,,,04,02,,1156.0,,,,708.0,36.0,borsari_marie-josé,7.0,borsari_marie-josé,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.00989999994635582,0.006100000347942114,,,75056_0402,BORSARI,Marie-José,LEXG,
75056_0403,Municipales,2008,1.0,,,,04,03,,1319.0,,,,792.0,37.0,borsari_marie-josé,18.0,borsari_marie-josé,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.022700000554323196,0.01360000018030405,,,75056_0403,BORSARI,Marie-José,LEXG,
75056_0404,Municipales,2008,1.0,,,,04,04,,1161.0,,,,705.0,38.0,borsari_marie-josé,8.0,borsari_marie-josé,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.011300000362098217,0.006899999920278788,,,75056_0404,BORSARI,Marie-José,LEXG,
75056_0405,Municipales,2008,1.0,,,,04,05,,1455.0,,,,874.0,39.0,borsari_marie-josé,6.0,borsari_marie-josé,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.006899999920278788,0.004100000020116568,,,75056_0405,BORSARI,Marie-José,LEXG,
75056_0406,Municipales,2008,1.0,,,,04,06,,1628.0,,,,950.0,40.0,borsari_marie-josé,12.0,borsari_marie-josé,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.012600000016391277,0.007400000002235174,,,75056_0406,BORSARI,Marie-José,LEXG,
75056_0407,Municipales,2008,1.0,,,,04,07,,1313.0,,,,784.0,41.0,borsari_marie-josé,12.0,borsari_marie-josé,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.015300000086426735,0.009100000374019146,,,75056_0407,BORSARI,Marie-José,LEXG,
75056_0408,Municipales,2008,1.0,,,,04,08,,1439.0,,,,865.0,42.0,borsari_marie-josé,8.0,borsari_marie-josé,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.009200000204145908,0.00559999980032444,,,75056_0408,BORSARI,Marie-José,LEXG,
75056_0409,Municipales,2008,1.0,,,,04,09,,1010.0,,,,624.0,43.0,borsari_marie-josé,6.0,borsari_marie-josé,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.009599999524652958,0.0058999997563660145,,,75056_0409,BORSARI,Marie-José,LEXG,
75056_0410,Municipales,2008,1.0,,,,04,10,,1098.0,,,,622.0,44.0,borsari_marie-josé,8.0,borsari_marie-josé,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.012899999506771564,0.007300000172108412,,,75056_0410,BORSARI,Marie-José,LEXG,
75056_0411,Municipales,2008,1.0,,,,04,11,,1047.0,,,,577.0,45.0,borsari_marie-josé,5.0,borsari_marie-josé,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.008700000122189522,0.004799999762326479,,,75056_0411,BORSARI,Marie-José,LEXG,
75056_0412,Municipales,2008,1.0,,,,04,12,,1214.0,,,,687.0,46.0,borsari_marie-josé,10.0,borsari_marie-josé,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.014600000344216824,0.008200000040233135,,,75056_0412,BORSARI,Marie-José,LEXG,
75056_0413,Municipales,2008,1.0,,,,04,13,,1550.0,,,,890.0,47.0,borsari_marie-josé,13.0,borsari_marie-josé,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.014600000344216824,0.00839999970048666,,,75056_0413,BORSARI,Marie-José,LEXG,
75056_0414,Municipales,2008,1.0,,,,04,14,,1278.0,,,,739.0,48.0,borsari_marie-josé,14.0,borsari_marie-josé,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.01889999955892563,0.010999999940395355,,,75056_0414,BORSARI,Marie-José,LEXG,
75056_0501,Municipales,2008,1.0,,,,05,01,,1406.0,,,,877.0,49.0,debat_vincent,8.0,debat_vincent,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.009100000374019146,0.00570000009611249,,,75056_0501,DEBAT,Vincent,LEXG,
75056_0502,Municipales,2008,1.0,,,,05,02,,1549.0,,,,1008.0,50.0,debat_vincent,3.0,debat_vincent,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.003000000026077032,0.0019000000320374966,,,75056_0502,DEBAT,Vincent,LEXG,
75056_0503,Municipales,2008,1.0,,,,05,03,,1512.0,,,,925.0,51.0,debat_vincent,7.0,debat_vincent,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.007600000128149986,0.004600000102072954,,,75056_0503,DEBAT,Vincent,LEXG,
75056_0504,Municipales,2008,1.0,,,,05,04,,1429.0,,,,906.0,52.0,debat_vincent,1.0,debat_vincent,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.0010999999940395355,0.000699999975040555,,,75056_0504,DEBAT,Vincent,LEXG,
75056_0505,Municipales,2008,1.0,,,,05,05,,1496.0,,,,992.0,53.0,debat_vincent,6.0,debat_vincent,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.006000000052154064,0.004000000189989805,,,75056_0505,DEBAT,Vincent,LEXG,
75056_0506,Municipales,2008,1.0,,,,05,06,,1397.0,,,,918.0,54.0,debat_vincent,8.0,debat_vincent,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.008700000122189522,0.00570000009611249,,,75056_0506,DEBAT,Vincent,LEXG,
75056_0507,Municipales,2008,1.0,,,,05,07,,1487.0,,,,954.0,55.0,debat_vincent,8.0,debat_vincent,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.00839999970048666,0.005400000140070915,,,75056_0507,DEBAT,Vincent,LEXG,
75056_0508,Municipales,2008,1.0,,,,05,08,,1533.0,,,,965.0,56.0,debat_vincent,2.0,debat_vincent,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.002099999925121665,0.0013000000035390258,,,75056_0508,DEBAT,Vincent,LEXG,
75056_0509,Municipales,2008,1.0,,,,05,09,,1456.0,,,,946.0,57.0,debat_vincent,2.0,debat_vincent,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.002099999925121665,0.00139999995008111,,,75056_0509,DEBAT,Vincent,LEXG,
75056_0510,Municipales,2008,1.0,,,,05,10,,1441.0,,,,938.0,58.0,debat_vincent,4.0,debat_vincent,elections-municipales-2008-1ertour.parquet,elections-municipales-2008-1ertour,0.00430000014603138,0.00279999990016222,,,75056_0510,DEBAT,Vincent,LEXG,
