file,rows,columns_count,columns,dtypes,preview_csv
data\raw\elections-presidentielles-2012-2emetour.parquet,869,19,id_bvote | scrutin | annee | tour | num_circ | num_quartier | date | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl_nul | nb_exprim | francois_hollande | nicolas_sarkozy | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: int64 | num_circ: int64 | num_quartier: int64 | date: object | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl_nul: int64 | nb_exprim: int64 | francois_hollande: int64 | nicolas_sarkozy: int64 | geo_shape: object | geo_point_2d: object,data\preview\elections-presidentielles-2012-2emetour_preview.csv
data\raw\elections-presidentielles-2017-1ertour.parquet,896,29,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl | nb_nul | nb_exprim | dupont_aignan_nicolas | le_pen_marine | macron_emmanuel | hamon_benoit | arthaud_nathalie | poutou_philippe | cheminade_jacques | lassalle_jean | melenchon_jean_luc | asselineau_francois | fillon_francois | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl: int64 | nb_nul: int64 | nb_exprim: int64 | dupont_aignan_nicolas: int64 | le_pen_marine: int64 | macron_emmanuel: int64 | hamon_benoit: int64 | arthaud_nathalie: int64 | poutou_philippe: int64 | cheminade_jacques: int64 | lassalle_jean: int64 | melenchon_jean_luc: int64 | asselineau_francois: int64 | fillon_francois: int64 | geo_shape: object | geo_point_2d: object,data\preview\elections-presidentielles-2017-1ertour_preview.csv
data\raw\elections-presidentielles-2017-2emetour.parquet,896,20,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl | nb_nul | nb_exprim | emmanuel_macron | marine_le_pen | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl: int64 | nb_nul: int64 | nb_exprim: int64 | emmanuel_macron: int64 | marine_le_pen: int64 | geo_shape: object | geo_point_2d: object,data\preview\elections-presidentielles-2017-2emetour_preview.csv
data\raw\elections-presidentielles-2022-2emetour.parquet,899,27,id_bvote | type_election | annee | numero_tour | date_tour | circ_bv | quartier_bv | arr_bv | sec_bv | num_bureau | nb_procuration | nb_inscrit | nb_emargement | nb_votant | nb_vote_blanc | nb_vote_nul | nb_exprime | macron_emmanuel | le_pen_marine | geo_shape | geo_point_2d | created_user | created_date | last_edited_user | last_edited_date | st_area_shape | st_perimeter_shape,"id_bvote: str | type_election: str | annee: str | numero_tour: int64 | date_tour: object | circ_bv: str | quartier_bv: str | arr_bv: str | sec_bv: str | num_bureau: int64 | nb_procuration: float64 | nb_inscrit: float64 | nb_emargement: float64 | nb_votant: int64 | nb_vote_blanc: float64 | nb_vote_nul: float64 | nb_exprime: float64 | macron_emmanuel: float64 | le_pen_marine: float64 | geo_shape: object | geo_point_2d: object | created_user: str | created_date: datetime64[ms, UTC] | last_edited_user: str | last_edited_date: datetime64[ms, UTC] | st_area_shape: float64 | st_perimeter_shape: float64",data\preview\elections-presidentielles-2022-2emetour_preview.csv
data\raw\elections-regionales-2010-1ertour.parquet,850,27,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl_nul | nb_exprim | valerie_pecresse | jean_pierre_mercier | marie_christine_arnautu | cecile_duflot | alain_dolium | jean_marc_governatori | pierre_laurent | axel_de_boer | jean_paul_huchon | nicolas_dupont_aignan | olivier_besancenot | almamy_kanoute,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl_nul: int64 | nb_exprim: int64 | valerie_pecresse: int64 | jean_pierre_mercier: int64 | marie_christine_arnautu: int64 | cecile_duflot: int64 | alain_dolium: int64 | jean_marc_governatori: int64 | pierre_laurent: int64 | axel_de_boer: int64 | jean_paul_huchon: int64 | nicolas_dupont_aignan: int64 | olivier_besancenot: int64 | almamy_kanoute: int64,data\preview\elections-regionales-2010-1ertour_preview.csv
data\raw\elections-regionales-2010-2emetour.parquet,850,17,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl_nul | nb_exprim | valerie_pecresse | jean_paul_huchon,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl_nul: int64 | nb_exprim: int64 | valerie_pecresse: int64 | jean_paul_huchon: int64,data\preview\elections-regionales-2010-2emetour_preview.csv
data\raw\elections-regionales-2015-1ertour.parquet,869,31,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl | nb_nul | nb_exprim | laurent_pierre | bartolone_claude | asselineau_francois | cosse_emmanuelle | horsfall_dawari | sachs_valerie | de_smet_sylvain | bourchada_nizarr | dupont_aignan_nicolas | pecresse_valerie | veron_aurelien | de_saint_just_wallerand | arthaud_nathalie | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl: int64 | nb_nul: int64 | nb_exprim: int64 | laurent_pierre: int64 | bartolone_claude: int64 | asselineau_francois: int64 | cosse_emmanuelle: int64 | horsfall_dawari: int64 | sachs_valerie: int64 | de_smet_sylvain: int64 | bourchada_nizarr: int64 | dupont_aignan_nicolas: int64 | pecresse_valerie: int64 | veron_aurelien: int64 | de_saint_just_wallerand: int64 | arthaud_nathalie: int64 | geo_shape: object | geo_point_2d: object,data\preview\elections-regionales-2015-1ertour_preview.csv
data\raw\elections-regionales-2015-2emetour.parquet,869,21,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl | nb_nul | nb_exprim | bartolone_claude | pecresse_valerie | de_saint_just_wallerand | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl: int64 | nb_nul: int64 | nb_exprim: int64 | bartolone_claude: int64 | pecresse_valerie: int64 | de_saint_just_wallerand: int64 | geo_shape: object | geo_point_2d: object,data\preview\elections-regionales-2015-2emetour_preview.csv
data\raw\elections-regionales-2021-1ertour.parquet,898,29,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl | nb_nul | nb_exprim | bardella_jordan | berlingen_eric | bayou_julien | pulvar_audrey | pailhac_victor | pecresse_valerie | conti_fabiola | brot_lionel | saint_martin_laurent | arthaud_nathalie | autain_clementine | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: int64 | num_arrond: int64 | num_bureau: int64 | nb_procu: int64 | nb_inscr: int64 | nb_emarg: int64 | nb_votant: int64 | nb_bl: int64 | nb_nul: int64 | nb_exprim: int64 | bardella_jordan: float64 | berlingen_eric: int64 | bayou_julien: int64 | pulvar_audrey: int64 | pailhac_victor: int64 | pecresse_valerie: int64 | conti_fabiola: int64 | brot_lionel: int64 | saint_martin_laurent: int64 | arthaud_nathalie: int64 | autain_clementine: int64 | geo_shape: object | geo_point_2d: object,data\preview\elections-regionales-2021-1ertour_preview.csv
data\raw\elections-regionales-2021-2emetour.parquet,898,22,id_bvote | scrutin | annee | tour | date | num_circ | num_quartier | num_arrond | num_bureau | nb_procu | nb_inscr | nb_emarg | nb_votant | nb_bl | nb_nul | nb_exprim | bardella_jordan | bayou_julien | pecresse_valerie | saint_martin_laurent | geo_shape | geo_point_2d,id_bvote: str | scrutin: str | annee: object | tour: int64 | date: object | num_circ: int64 | num_quartier: float64 | num_arrond: float64 | num_bureau: float64 | nb_procu: float64 | nb_inscr: float64 | nb_emarg: float64 | nb_votant: float64 | nb_bl: float64 | nb_nul: float64 | nb_exprim: float64 | bardella_jordan: float64 | bayou_julien: float64 | pecresse_valerie: float64 | saint_martin_laurent: float64 | geo_shape: object | geo_point_2d: object,data\preview\elections-regionales-2021-2emetour_preview.csv
